iteracija,zavrsetak_projekta,prekoracen_rok,T1_ucinak,T1_A1.2_ucinak,T2_ucinak,T3_ucinak,T3_A4.1_ucinak,T4_ucinak,T4_A4.1_ucinak,T5_ucinak,T5_A3.2_ucinak,T6_ucinak,T7_ucinak,T8_ucinak,T8_A3.1_ucinak,T8_A3.2_ucinak,T8_A4.1_ucinak,T8_A5.1_ucinak,T8_A5.2_ucinak,T9_ucinak,T9_A3.1_ucinak,P1_ucinak,P1_A5.2_ucinak
73,36.38519788607682,1,1.3691970958935507,0.5967726994034466,0.0,0.0,0.0,0.0,0.0,1.3851978860768153,0.6134568842561103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,35.98586234050735,0,0.0,0.0,0.0,2.306338529875442,0.9858623405073558,0.0,0.0,0.0,0.0,0.2682642497685646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7971428721584007,-0.26977314237633787
75,38.45010958860741,1,0.0,0.0,0.0,1.8034518180240529,1.2117468602866739,1.3066678384882442,0.450355444774119,1.7880072835466176,0.5347315429260472,0.455161540714984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5090963524410013,-0.22604931828175343
76,37.127989816079754,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5676344500342907,0.3970500157967018,0.0,1.127989816079754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,39.84527052853994,1,0.0,0.0,1.5015820395156514,3.4449081087566187,1.2033140127668802,0.0,0.0,3.6419565157730607,0.5663986047976992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,36.340433888668514,1,0.9907282545451109,0.44033276244110464,2.2915102497151603,0.0,0.0,1.0581953844082466,0.5382853980896403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,37.01868347671953,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018683476719531,0.5172705678487162,0.4778038029299919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,37.27400198636501,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2740019863650065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,36.52906264281093,1,0.6700191150799721,0.6538165979227495,0.0,2.7593387921492476,1.5290626428109282,0.0,0.0,0.0,0.0,0.9835817011539958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,35.61231410343495,0,0.8470464442098333,0.7094668070047727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3876858965650519,-0.36250923748844865
83,37.055753669691825,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.055753669691823,0.5326748827050563,0.9934806993035357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,40.810991127745964,1,1.1518762859410434,0.5515341629572693,0.0,2.5893208886394197,1.0330982530847899,0.0,0.0,2.2028809675224785,0.5767318642318908,0.458883680384503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4377889847909655,1.0552731041426449,0.0,0.0
85,37.83625436544739,1,0.0,0.0,1.8570916505494535,0.0,0.0,0.0,0.0,2.1524227068475943,0.3320429224636702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6713849397876483,0.9757348526466167,0.0,0.0
86,36.44442874899953,1,1.689856731520126,0.7531263560450738,0.8867309701759712,0.0,0.0,1.1647438892554007,0.8222482678129861,0.0,0.0,0.6670954848048248,1.32884305820826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8844143092087285,-0.1752141157581502
87,37.06245203673658,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0624520367365817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,37.042857740846614,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042857740846613,0.5223129325925411,0.4055595597958767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,38.07445568446551,1,0.8437186436434743,0.44644645883786993,0.0,2.2954572629964094,1.6905899120266021,0.0,0.0,1.3838657724389092,0.4197066398254049,0.4969338481078589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,38.88499723964397,1,1.4530771818718615,0.6214116228535188,0.0,0.0,0.0,0.7606420800668601,0.4558195316518739,3.429177707992093,0.5171606720554245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,37.42328091256243,1,0.0,0.0,0.0,2.708272736633641,0.8558859103835611,0.0,0.0,1.5673950021788712,0.5659699185390683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,39.84018085958476,1,0.0,0.0,0.0,2.437226755699246,0.9134922359215307,0.0,0.0,3.665818324137917,0.5537678907000888,0.0,0.0,0.2967179239443185,0.31243234011886123,0.3522695182347073,0.26087029952531476,0.36695603770317653,0.4531475249425163,0.0,0.0,-0.6442593611735158,-0.3188520462754457
93,36.60229928996106,1,0.0,0.0,0.0,2.9382739369886197,1.138979368489995,0.0,0.0,0.0,0.0,0.9356462133344576,0.6022992899610607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,36.159813729604814,1,0.7881721602626037,0.8716158005087306,0.0,1.9348734463420154,1.1598137296048163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47642453300989956,-0.23601467655062322
95,36.02639294061409,1,1.1786350006619386,0.6674125283426514,1.6050848167762355,0.0,0.0,0.0,0.0,0.0,0.0,1.0263929406140844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,36.54287676583555,1,0.9250827417229899,0.6949061881347691,0.0,1.6266346563600558,1.0825211461308348,1.027328041943972,0.4603556197047125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
